"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","827","Usuário interno com token expirado não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:57:48 UTC 2026","passed","Thu May 07 20:57:49 UTC 2026","","","",""
"","354","não deve consultar o quantitativo de entregas ao utilizar token expirado","Consultar Quantitativo de Entregas por Base","Thu May 07 20:57:51 UTC 2026","passed","Thu May 07 20:57:52 UTC 2026","","","",""
"","729","deve consultar os detalhes das entregas NÃO ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:53 UTC 2026","passed","Thu May 07 20:57:54 UTC 2026","","","",""
"","1385","deve consultar os detalhes das entregas SEM REGISTRO com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:54 UTC 2026","passed","Thu May 07 20:57:55 UTC 2026","","","",""
"","966","deve consultar o quantitativo de entregas com sucesso sem enviar datas (default 15 dias)","Consultar Quantitativo de Entregas por Base","Thu May 07 20:57:50 UTC 2026","passed","Thu May 07 20:57:51 UTC 2026","","","",""
"","1176","deve consultar os detalhes das entregas com sucesso passando período de 15 dias","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:50 UTC 2026","passed","Thu May 07 20:57:51 UTC 2026","","","",""
"","2281","deve consultar os detalhes das entregas ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:51 UTC 2026","passed","Thu May 07 20:57:53 UTC 2026","","","",""
"","2535","deve consultar os detalhes das entregas com sucesso sem enviar nenhum parâmetro","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:47 UTC 2026","passed","Thu May 07 20:57:50 UTC 2026","","","",""
"","615","deve consultar o quantitativo de entregas sem resultados (retorno vazio)","Consultar Quantitativo de Entregas por Base","Thu May 07 20:57:52 UTC 2026","passed","Thu May 07 20:57:52 UTC 2026","","","",""
"","341","Usuário interno sem permissão de simulaçã não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:57:49 UTC 2026","passed","Thu May 07 20:57:49 UTC 2026","","","",""
"","2433","deve consultar o quantitativo de entregas com sucesso para 1 base","Consultar Quantitativo de Entregas por Base","Thu May 07 20:57:47 UTC 2026","passed","Thu May 07 20:57:50 UTC 2026","","","",""
"","774","consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:57:49 UTC 2026","passed","Thu May 07 20:57:50 UTC 2026","","","",""
"","724","deve consultar o quantitativo de entregas com sucesso para várias bases","Consultar Quantitativo de Entregas por Base","Thu May 07 20:57:50 UTC 2026","passed","Thu May 07 20:57:50 UTC 2026","","","",""
"","434","não deve consultar os detalhes das entregas ao utilizar token expirado","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:56 UTC 2026","passed","Thu May 07 20:57:57 UTC 2026","","","",""
"","862","consultar os detalhes das entregas na simulacao","Simulação com usuario interno","Thu May 07 20:57:50 UTC 2026","passed","Thu May 07 20:57:51 UTC 2026","","","",""
"","676","deve buscar nota fiscal por número com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:57:55 UTC 2026","passed","Thu May 07 20:57:56 UTC 2026","","","",""
