"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","668","deve consultar o quantitativo de entregas sem resultados (retorno vazio)","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:51:18 UTC 2026","passed","Fri May 15 20:51:18 UTC 2026","","","",""
"","6585","Usuário interno com token expirado não deve consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:51:08 UTC 2026","passed","Fri May 15 20:51:15 UTC 2026","","","",""
"","457","não deve consultar o quantitativo de entregas ao utilizar token expirado","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:51:17 UTC 2026","passed","Fri May 15 20:51:18 UTC 2026","","","",""
"","609","deve buscar nota fiscal por número com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:23 UTC 2026","passed","Fri May 15 20:51:23 UTC 2026","","","",""
"","957","deve consultar os detalhes das entregas com sucesso passando período de 15 dias","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:19 UTC 2026","passed","Fri May 15 20:51:20 UTC 2026","","","",""
"","738","deve consultar o quantitativo de entregas com sucesso para várias bases","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:51:16 UTC 2026","passed","Fri May 15 20:51:17 UTC 2026","","","",""
"","1139","deve consultar os detalhes das entregas ENTREGUES com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:20 UTC 2026","passed","Fri May 15 20:51:21 UTC 2026","","","",""
"","302","não deve consultar os detalhes das entregas ao utilizar token expirado","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:23 UTC 2026","passed","Fri May 15 20:51:24 UTC 2026","","","",""
"","644","deve consultar os detalhes das entregas NÃO ENTREGUES com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:21 UTC 2026","passed","Fri May 15 20:51:22 UTC 2026","","","",""
"","836","deve consultar os dados de transportador PF FOB com sucesso","GET /{cpf}/resumo | Consultar Dados do Transportador PF","Fri May 15 20:51:21 UTC 2026","passed","Fri May 15 20:51:22 UTC 2026","","","",""
"","909","deve consultar os dados de transportador PJ CIF e FOB com sucesso","GET /{cnpj}/resumo | Consultar Dados do Transportador","Fri May 15 20:51:20 UTC 2026","passed","Fri May 15 20:51:21 UTC 2026","","","",""
"","1573","consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:51:15 UTC 2026","passed","Fri May 15 20:51:16 UTC 2026","","","",""
"","743","deve consultar o quantitativo de entregas com sucesso sem enviar datas (default 15 dias)","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:51:17 UTC 2026","passed","Fri May 15 20:51:17 UTC 2026","","","",""
"","379","Usuário interno sem permissão de simulaçã não deve consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:51:15 UTC 2026","passed","Fri May 15 20:51:15 UTC 2026","","","",""
"","2413","consultar os detalhes das entregas na simulacao","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:51:16 UTC 2026","passed","Fri May 15 20:51:19 UTC 2026","","","",""
"","8494","deve consultar o quantitativo de entregas com sucesso para 1 base","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:51:07 UTC 2026","passed","Fri May 15 20:51:16 UTC 2026","","","",""
"","825","deve consultar os detalhes das entregas SEM REGISTRO com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:22 UTC 2026","passed","Fri May 15 20:51:23 UTC 2026","","","",""
"","758","pesquisar por número da nota fiscal na simulacao","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:51:19 UTC 2026","passed","Fri May 15 20:51:20 UTC 2026","","","",""
"","11668","deve consultar os detalhes das entregas com sucesso sem enviar nenhum parâmetro","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:51:07 UTC 2026","passed","Fri May 15 20:51:19 UTC 2026","","","",""
